"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Sprr1a",4.38726598469387,5.09992993112245,13.9578340332878,9.2216962248013e-10,1.19817499048843e-05,11.8082759513579
"Chodl",-2.78759288265307,9.91492733418367,-12.7607107911122,3.06043561715975e-09,1.98821199868783e-05,10.8758782616167
"Phgdh",3.08524746938775,7.33912597959184,11.4540599271824,1.27037878908364e-08,5.50201053552125e-05,9.71908559928025
"Ddit3",2.04071721428571,7.10229350510204,10.7700404154226,2.8245240599851e-08,6.16985016628356e-05,9.04781966020957
"Gap43",3.28732565816326,6.41891592091837,10.7525003670765,2.88451698420335e-08,6.16985016628356e-05,9.02996421972994
"Mest",-2.14153454081633,8.33416643367347,-10.6501758271515,3.2625646448875e-08,6.16985016628356e-05,8.92513888042444
"Tubb2b",2.38777645408163,8.80877295663265,10.6347392409267,3.32401686785076e-08,6.16985016628356e-05,8.90922655349509
"Atf3",3.33861087755102,4.98973951020408,9.86287563285137,8.69181972831675e-08,0.000141166017162524,8.07948379035394
"Timp1",2.27993016836735,4.38267879336735,9.73738745591816,1.02171747092512e-07,0.000147501945552556,7.9380411058962
"Mmp9",-1.80634862244898,7.02313176020408,-9.60733761605416,1.21011717838483e-07,0.000157230524987541,7.7894484411127
"Tubb6",2.14030176530612,7.25148118877551,9.29696104924841,1.82507771058661e-07,0.00021557486085138,7.42637920648396
"Ctla2a",2.6389688877551,5.36619920918367,9.22084436278435,2.02169188338447e-07,0.000218898688673453,7.33548913299689
"Ighm",-2.80723958163266,9.60531571938776,-9.10549045066344,2.36355917115685e-07,0.00023622864854493,7.19633096512938
"Itm2a",-3.1871518367347,9.68306724489796,-8.87894148496619,3.22590938953832e-07,0.000297343191276392,6.9179931070238
"Rab15",1.68957674489795,8.36849967857143,8.83416953257045,3.43273137008072e-07,0.000297343191276392,6.86218527126459
"Lgals3",3.20082140816326,5.24603926530612,8.72874452379912,3.97716085805587e-07,0.0003229703189295,6.7297160119937
"Uts2",1.5212633877551,9.75876220408163,8.64770230514584,4.45749489431874e-07,0.000326547801224035,6.6268667031348
"Prpf4b",0.945586581632649,8.45131095918367,8.63723557456776,4.52386702226786e-07,0.000326547801224035,6.61351862079119
"Asph",-1.74327462755102,6.54960354336735,-8.57512708838991,4.93982418913906e-07,0.000333158569395366,6.53400534096328
"Pdgfd",-2.0704557755102,3.37610559183673,-8.54878597846877,5.1282778326078e-07,0.000333158569395366,6.50012332116848
"Rhoc",1.57189404591836,7.31296419132653,8.44581433641165,5.94113734845724e-07,0.000367586655088118,6.36675695414876
"Adcyap1",2.58000090816326,5.90288055612245,7.95721170002846,1.21479794773388e-06,0.000717448624313923,5.71364936366225
"Psat1",1.26537067346939,9.48092985714286,7.83002316793222,1.47039130444084e-06,0.000830643226895644,5.53802184339336
"Plxdc1",-1.21860436734694,8.42679258163265,-7.72619898124983,1.72098347167618e-06,0.000931697426978692,5.39290133923237
"Dpysl4",1.48131800510204,5.81735807397959,7.63926355032071,1.96542500493034e-06,0.00102147068356239,5.2701630822307
"Trhr",-1.35522401020408,9.36053708673469,-7.57548251167986,2.16789719053059e-06,0.00108336493063708,5.17940082977969
"Hpcal1",-0.875592704081635,9.06598932142857,-7.32085950982998,3.22325325670741e-06,0.00151931122651368,4.81098402859233
"Cstb",1.05935403061224,10.7534509438776,7.31091613495719,3.27412563244695e-06,0.00151931122651368,4.79639808643829
"Parm1",-1.14765163265306,8.39224903061224,-7.26099439263296,3.54262287146336e-06,0.00158721720582495,4.72294056438378
"Mt2",1.40102636734694,9.91630655102041,7.23429714564672,3.69563046079907e-06,0.00160057755257208,4.68350097599953
"Ddt",0.74632295918367,7.863375,7.1663523422369,4.11725705081526e-06,0.00172566196326589,4.58263554593332
"Mt1",0.778687346938773,10.0847109489796,7.08471829057592,4.6917106098219e-06,0.0018503438460682,4.46051243194865
"Safb2",1.08540624489796,6.06025602040816,7.08367742282808,4.69955721698228e-06,0.0018503438460682,4.45894870066537
"Grn",1.21321109183673,9.42741889285714,6.78496392433621,7.63717909175547e-06,0.0029185255276229,4.00326285590825
"Hsd17b7",-1.51524339795918,5.11885921938776,-6.75362092103082,8.04196984397072e-06,0.0029854089766489,3.95464662004649
"Atf4",1.09252725510203,10.151791372449,6.60356931125953,1.03168167987447e-05,0.00364794969912093,3.71977924311515
"Dner",0.778331377551014,10.7540280357143,6.59944081186218,1.0388219723503e-05,0.00364794969912093,3.71326745114538
"Stmn4",1.16223983163265,8.02229513010204,6.54422924270909,1.13945447112139e-05,0.00386925457957766,3.62592745551531
"Hoxb6",-1.11605981632654,6.11516502040816,-6.51837337135099,1.19004826633028e-05,0.00386925457957766,3.58486184645766
"Elf5",-2.08097860204082,4.54680641836735,-6.51780762621971,1.19118127594171e-05,0.00386925457957766,3.58396213272809
"Iars",0.921884530612237,9.02456892857143,6.43157985606776,1.37781657123046e-05,0.00427577431425841,3.44624754386499
"Ndrg1",1.18298943367347,9.24397847704082,6.42972697432531,1.3821482428912e-05,0.00427577431425841,3.44327554079634
"Vstm2a",-1.09342498979592,9.05170933163265,-6.40761360623609,1.43496055242122e-05,0.00429649224895036,3.4077644910222
"Mtap",-0.952086142857146,10.2827005,-6.3994529204392,1.45498082778277e-05,0.00429649224895036,3.3946402281796
"Lyz1",2.79483198979591,4.96237182142857,6.31061444710565,1.69285857812713e-05,0.00488784700124572,3.25109397266946
"Gadd45g",1.4129502755102,5.28978773979592,6.24397949295631,1.89783471846877e-05,0.0053605579341445,3.14261524855051
"Sap30bp",0.929095224489793,5.35595560204082,6.20882070076432,2.01630537447947e-05,0.00557401185757696,3.08509909367428
"Smarcd3",1.16859771428571,5.09677173469388,6.17797628134315,2.12661233255275e-05,0.00575647375767874,3.03448215431692
"Slc2a1",0.915242734693875,9.56588184693878,6.1285579796664,2.31669652761602e-05,0.00610119132722096,2.953075978407
"Zfand2b",0.90237545918367,5.94789215816327,6.10740016180701,2.40343572323939e-05,0.00610119132722096,2.91810686335249
"Magee1",-0.821075030612246,7.73438488265306,-6.10157292376814,2.42791696974313e-05,0.00610119132722096,2.90846353557647
"Abhd18",-1.22880839795919,3.05811455612245,-6.09630958904563,2.45025332114284e-05,0.00610119132722096,2.89974886316134
"Tpd52l1",-1.01680860714286,9.20894143112245,-6.0873551729875,2.488748867411e-05,0.00610119132722096,2.8849128674993
"Csgalnact1",-2.33453009183674,6.6673496377551,-6.0689107358197,2.57004890826073e-05,0.00618382323426512,2.8543142622132
"Rspo2",-1.47908005102041,9.08173923979592,-6.03272151700471,2.73773782566761e-05,0.0064535727845105,2.79412452092606
"Pde6b",-1.74040821938776,4.27695304336735,-6.01607342449437,2.8186833683692e-05,0.0064535727845105,2.7663673968297
"Ppib",0.933121336734692,10.3589658112245,6.01355026909462,2.83116792670745e-05,0.0064535727845105,2.76215683536258
"Cadm1",-0.551764295918369,9.84331938265306,-5.99560906047134,2.92162408738229e-05,0.00654494168402725,2.73218874182898
"Sfxn3",0.936551622448976,7.71521265816327,5.95485859153595,3.13848180291283e-05,0.00660867095976379,2.6639365816241
"Tesc",-0.546320306122453,11.0764023979592,-5.94675366709611,3.18358233481874e-05,0.00660867095976379,2.65033127775183
"Tmem63a",1.06830753061224,6.12175910204082,5.92894930344454,3.28504953869016e-05,0.00660867095976379,2.62040853226081
"Nek4",-2.20929716326531,4.59714960204082,-5.92386289123555,3.31465315925176e-05,0.00660867095976379,2.61185114198921
"Ly86",2.30890294897959,5.65675451530612,5.91509753865236,3.36632428919596e-05,0.00660867095976379,2.59709496146251
"Tnfaip1",1.19027156122448,7.72733861734694,5.91507381213253,3.36646529129886e-05,0.00660867095976379,2.59705500262753
"Ccn3",2.53537108163265,4.03708582653061,5.91056454260841,3.39337529932074e-05,0.00660867095976379,2.58945918090597
"Rasgrp2",1.1986858010204,5.90656445153061,5.90241259302897,3.4425954030152e-05,0.00660867095976379,2.57571937236606
"Gpcpd1",-1.13083270408164,8.5294334744898,-5.90084786517143,3.45212794108396e-05,0.00660867095976379,2.57308091435076
"Ppp3ca",-0.878491448979595,10.6517335612245,-5.89977078888079,3.45870565122711e-05,0.00660867095976379,2.57126452034212
"Nrbf2",-0.976072724489799,7.94470296428571,-5.8784764556664,3.59147255413197e-05,0.00676289897041111,2.53531696572553
"Lcp1",-1.80833213265307,7.60999861734694,-5.86994747364804,3.64613203480714e-05,0.00676774193260703,2.52089945781283
"Snx10",-0.959562428571429,9.81738086734694,-5.86100440786594,3.7043788043682e-05,0.0067790132119938,2.50577001216725
"Prss12",-1.92356208163265,6.46411954081633,-5.82394877308762,3.95627191215229e-05,0.00713942235480482,2.44295075355983
"Cd55",-1.42884247959184,7.1901658622449,-5.8086432240909,4.06547246845418e-05,0.00723598407981167,2.41694256157751
"Tmem98",1.74647569897959,6.08363606377551,5.79976083582921,4.13028361899169e-05,0.00725199662994041,2.40183265463106
"Nap1l3",-0.928382724489802,9.79240343367347,-5.78879628980085,4.21177711247543e-05,0.00726362158901607,2.38316420726095
"Tmeff2",-0.783987908163269,8.88518392346939,-5.78151726122714,4.26680321299267e-05,0.00726362158901607,2.37076069336341
"Rnf11",-1.14434045918368,8.21098381122449,-5.77657170384835,4.3046168117774e-05,0.00726362158901607,2.36232883547449
"Dgkz",0.904617346938771,9.67230405102041,5.76833952630976,4.36833700198789e-05,0.00727664136754213,2.34828526205644
"Cct8",-1.09571260714286,7.66668615561225,-5.76040011736138,4.43072347545412e-05,0.00728713798943992,2.33473138853554
"Blzf1",-1.67843285714286,5.29339194897959,-5.69011341879851,5.02526546755965e-05,0.00810009706335463,2.21432436575778
"0610012G03Rik",0.880386602040812,7.45222693367347,5.68741305583364,5.04970262550392e-05,0.00810009706335463,2.20968354375858
"Timm44",0.804191418367342,9.24521646428571,5.62791956183533,5.62071753334942e-05,0.00890609547692792,2.10716066355892
"Eogt",1.18733430612245,6.57143324489796,5.61361412810902,5.76780233610687e-05,0.00898491097738247,2.08242962140955
"Me1",-0.748452816326534,7.78524971428571,-5.60462855020631,5.86223502210903e-05,0.00898491097738247,2.06687986190996
"C1qb",1.67861082653061,5.66733251530612,5.6031512018715,5.8779145161049e-05,0.00898491097738247,2.06432212304257
"Rbfox3",-1.54805770918367,4.954171875,-5.52413679268406,6.78350656505926e-05,0.0101920152145699,1.92705213188567
"Snx16",-0.637300051020413,7.88751954591837,-5.52082591974819,6.82448490469929e-05,0.0101920152145699,1.92128007512696
