"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Sprr1a",4.38726598469387,5.09992993112245,13.9578340332878,9.2216962248013e-10,1.19817499048843e-05,11.8082759513579
"Chodl",-2.78759288265307,9.91492733418367,-12.7607107911122,3.06043561715975e-09,1.98821199868783e-05,10.8758782616167
"Phgdh",3.08524746938775,7.33912597959184,11.4540599271824,1.27037878908364e-08,5.50201053552125e-05,9.71908559928025
"Ddit3",2.04071721428571,7.10229350510204,10.7700404154226,2.8245240599851e-08,6.16985016628356e-05,9.04781966020957
"Gap43",3.28732565816326,6.41891592091837,10.7525003670765,2.88451698420335e-08,6.16985016628356e-05,9.02996421972994
"Mest",-2.14153454081633,8.33416643367347,-10.6501758271515,3.2625646448875e-08,6.16985016628356e-05,8.92513888042444
"Tubb2b",2.38777645408163,8.80877295663265,10.6347392409267,3.32401686785076e-08,6.16985016628356e-05,8.90922655349509
"Atf3",3.33861087755102,4.98973951020408,9.86287563285137,8.69181972831675e-08,0.000141166017162524,8.07948379035394
"Timp1",2.27993016836735,4.38267879336735,9.73738745591816,1.02171747092512e-07,0.000147501945552556,7.9380411058962
"Mmp9",-1.80634862244898,7.02313176020408,-9.60733761605416,1.21011717838483e-07,0.000157230524987541,7.7894484411127
"Tubb6",2.14030176530612,7.25148118877551,9.29696104924841,1.82507771058661e-07,0.00021557486085138,7.42637920648396
"Ctla2a",2.6389688877551,5.36619920918367,9.22084436278435,2.02169188338447e-07,0.000218898688673453,7.33548913299689
"Ighm",-2.80723958163266,9.60531571938776,-9.10549045066344,2.36355917115685e-07,0.00023622864854493,7.19633096512938
"Itm2a",-3.1871518367347,9.68306724489796,-8.87894148496619,3.22590938953832e-07,0.000297343191276392,6.9179931070238
"Rab15",1.68957674489795,8.36849967857143,8.83416953257045,3.43273137008072e-07,0.000297343191276392,6.86218527126459
"Lgals3",3.20082140816326,5.24603926530612,8.72874452379912,3.97716085805587e-07,0.0003229703189295,6.7297160119937
"Uts2",1.5212633877551,9.75876220408163,8.64770230514584,4.45749489431874e-07,0.000326547801224035,6.6268667031348
"Asph",-1.74327462755102,6.54960354336735,-8.57512708838991,4.93982418913906e-07,0.000333158569395366,6.53400534096328
"Pdgfd",-2.0704557755102,3.37610559183673,-8.54878597846877,5.1282778326078e-07,0.000333158569395366,6.50012332116848
"Rhoc",1.57189404591836,7.31296419132653,8.44581433641165,5.94113734845724e-07,0.000367586655088118,6.36675695414876
"Adcyap1",2.58000090816326,5.90288055612245,7.95721170002846,1.21479794773388e-06,0.000717448624313923,5.71364936366225
"Hsd17b7",-1.51524339795918,5.11885921938776,-6.75362092103082,8.04196984397072e-06,0.0029854089766489,3.95464662004649
"Elf5",-2.08097860204082,4.54680641836735,-6.51780762621971,1.19118127594171e-05,0.00386925457957766,3.58396213272809
"Lyz1",2.79483198979591,4.96237182142857,6.31061444710565,1.69285857812713e-05,0.00488784700124572,3.25109397266946
"Csgalnact1",-2.33453009183674,6.6673496377551,-6.0689107358197,2.57004890826073e-05,0.00618382323426512,2.8543142622132
"Pde6b",-1.74040821938776,4.27695304336735,-6.01607342449437,2.8186833683692e-05,0.0064535727845105,2.7663673968297
"Nek4",-2.20929716326531,4.59714960204082,-5.92386289123555,3.31465315925176e-05,0.00660867095976379,2.61185114198921
"Ly86",2.30890294897959,5.65675451530612,5.91509753865236,3.36632428919596e-05,0.00660867095976379,2.59709496146251
"Ccn3",2.53537108163265,4.03708582653061,5.91056454260841,3.39337529932074e-05,0.00660867095976379,2.58945918090597
"Lcp1",-1.80833213265307,7.60999861734694,-5.86994747364804,3.64613203480714e-05,0.00676774193260703,2.52089945781283
"Prss12",-1.92356208163265,6.46411954081633,-5.82394877308762,3.95627191215229e-05,0.00713942235480482,2.44295075355983
"Tmem98",1.74647569897959,6.08363606377551,5.79976083582921,4.13028361899169e-05,0.00725199662994041,2.40183265463106
"Blzf1",-1.67843285714286,5.29339194897959,-5.69011341879851,5.02526546755965e-05,0.00810009706335463,2.21432436575778
"C1qb",1.67861082653061,5.66733251530612,5.6031512018715,5.8779145161049e-05,0.00898491097738247,2.06432212304257
"Rbfox3",-1.54805770918367,4.954171875,-5.52413679268406,6.78350656505926e-05,0.0101920152145699,1.92705213188567
"Aldh1a1",-1.59595341326531,7.16421531887755,-5.50220668131497,7.05978158441118e-05,0.0103325426178863,1.8887899286243
"Atp8a1",-1.67111478571429,8.0908649744898,-5.47018644420033,7.48437754775257e-05,0.0105505200613826,1.83279640342669
"Ctss",2.00598886224489,6.98016214540816,5.44437711732342,7.84591875348469e-05,0.0106768126740319,1.78755481289696
"Cd44",2.99524378061224,4.12932215561225,5.4140268325988,8.29442506377371e-05,0.0110071336088644,1.73422940580914
"Vim",2.30086879591836,5.1111241122449,5.41020008946227,8.35283907890132e-05,0.0110071336088644,1.72749634993718
"Dock5",-1.89865292857143,5.83555412755102,-5.23156377839595,0.000116157922102308,0.0138462374483971,1.4108613907058
"Dipk2a",-2.04382066326531,5.63913741326531,-5.21141345048893,0.000120591843231004,0.0139897305276825,1.37486254274685
"Tyrobp",2.87613259183673,5.11156512244898,5.15238557190418,0.000134619489141482,0.0149496668582503,1.26908574672488
"Tnfsf13b",-1.72502194897959,5.28278708673469,-5.12664733742779,0.000141256089061286,0.0151248941087655,1.22281408590087
"Zmym1",-1.5933168877551,4.72504900510204,-5.11941303820095,0.000143181865264231,0.0151248941087655,1.20979223112119
"Gyg",-1.58515453061225,6.17107325510204,-5.01940177351057,0.000172776418294678,0.0170066969916875,1.0290520199578
"Cenpc1",-1.67905025,5.29685275765306,-4.98293341930516,0.000185086227212074,0.0179464578370633,0.96281805199782
"Ghr",-1.59558760204082,7.86633583163265,-4.94483485800071,0.000198919126767489,0.0188260981144098,0.8934394429755
"Isy1",-1.76269192857143,4.66309928061225,-4.94054296683874,0.000200543096445437,0.0188260981144098,0.885612117364573
"Resf1",-2.16921787244898,4.87009730357143,-4.92514908064473,0.000206481521869734,0.0188260981144098,0.857518264632249
"Gabrb3",-2.15521874489796,3.98039605612245,-4.91307182214051,0.000211267643431261,0.0188260981144098,0.835456222775211
"Cdkn1a",1.58785181632653,5.52191908163265,4.89981472652089,0.000216653590920871,0.0188260981144098,0.811217737219929
"Ostf1",-2.22903008163265,5.61117448979592,-4.88864167931692,0.00022130301605402,0.0188260981144098,0.790772466334517
"Tagln2",1.64695831632653,5.60963929591837,4.87227618595247,0.000228300111368103,0.0188260981144098,0.760797532997109
"Reck",-1.50531608163265,3.77585815306122,-4.7251631449152,0.000302449183713642,0.0227151574797188,0.489881515568941
"Abca1",1.83777761734694,6.53403388010204,4.61540930344193,0.000373670346410834,0.0262437773563025,0.286120381994716
"Tle4",-1.57323848979592,6.90123426530612,-4.56422956960069,0.00041258410396584,0.028066519700671,0.190649639545655
"Hcn1",-1.59198418877551,7.24460578316327,-4.55454583965595,0.000420404132172979,0.028435929734085,0.172554226414254
"Mpp6",-1.89006592857143,7.09083161734694,-4.54945014765557,0.000424580186901599,0.028435929734085,0.163028257780452
"Npy",2.10849682653061,5.0795025255102,4.50353645179658,0.000464186979497081,0.0301109711214998,0.0770753088812066
"Hnrnpa1",1.52382046938775,7.25418771428571,4.43502885152001,0.000530474917756481,0.0320398511145357,-0.0515685341313858
"Lrrc49",-1.64137373979592,6.67436571683673,-4.41664505273773,0.000549866079257861,0.0323137656294169,-0.0861672505315481
"Kcnip4",-1.65091745918368,4.32807179081633,-4.36617320026737,0.00060693128215311,0.0345870971448042,-0.181318714878292
"Cyp1b1",2.02141571428571,4.98759312244898,4.35262185082852,0.000623263507734814,0.034755634145916,-0.206905768322922
"L3hypdh",-2.04427543877551,6.0073350255102,-4.3420585743566,0.000636306527559699,0.0348840958336842,-0.226862213073371
"Hopx",-1.78050443877551,8.3362373622449,-4.27583224080962,0.000724708065199593,0.0365329730473715,-0.352198516494216
"Perp",-1.83879142857143,5.17106596938776,-4.27234875662873,0.000729692215333083,0.0366057565784662,-0.358801361380822
"Enpep",-1.76983425510204,6.61549969897959,-4.25823779224788,0.000750243734545876,0.0372057894769258,-0.385558397089296
"Spp2",-1.50998700510204,4.13639352295918,-4.18339520747126,0.000869580935819928,0.040868507563762,-0.527735199199089
"Polr3g",-2.53692904081633,6.66906703061225,-4.15142499577202,0.000926314943957731,0.0422302107608519,-0.588595559824508
"Kcnq5",-1.66596250510204,3.18693706887755,-4.11121466800365,0.00100307695110152,0.0441048447138697,-0.665243237885576
"Mfsd14b",-1.6298824744898,7.30986850765306,-4.09645844222161,0.0010328490745466,0.04503291283753,-0.693398074555125
"Gal",1.6601123877551,4.84634954081633,4.08980395211233,0.00104656860101807,0.0453268861100925,-0.706099404664614
"Ackr3",-1.58528342857143,4.33222398979592,-4.05114448834543,0.00113003175352489,0.0469644295329019,-0.779942586074066
"Ppat",-1.81782173469388,5.32639979591837,-4.03869955875997,0.00115831899609211,0.0469644295329019,-0.803732636479467
"Gspt1",-1.66561452040816,4.78504959693878,-4.03295017640267,0.00117162992968987,0.0469644295329019,-0.8147263304844
"Tmcc2",-1.6783753877551,6.53898370408163,-3.98115263943492,0.0012988042342445,0.0484388626375801,-0.913853301060089
"Calhm5",-2.05255356122449,5.00431265816327,-3.96702288871442,0.00133587583372578,0.0493097576920426,-0.940918337056167
"Mindy3",-1.61258713265307,6.67281558673469,-3.93711767409498,0.00141792675454892,0.0506129734116872,-0.998232653621697
"Cdh8",-1.73248387244898,4.26464105357143,-3.9285760871845,0.00144229005299164,0.0507951740243975,-1.01461049454262
"Phex",2.03214010714285,3.03342856887755,3.87786429222378,0.00159595652642131,0.053510631184162,-1.11191054005652
"Csf1r",1.51986835714285,7.7513529744898,3.78550639511047,0.00191984400265518,0.0584322231392268,-1.28935459780535
"Armcx4",-1.5352325,6.46048141326531,-3.76500369648918,0.00200035193352354,0.0596114052116315,-1.3287789360799
"Gria4",-1.84173129591837,5.23966539285714,-3.73926888623519,0.00210626084052777,0.0617757270902424,-1.37827725243982
"Abcd2",-1.6059453622449,5.27405464540816,-3.68740792037347,0.00233724227206116,0.0655891767621829,-1.47806176528668
"Lyz2",1.58156230612245,3.49135348979592,3.5880040047561,0.00285397358977429,0.0732715421679475,-1.66938694279615
"Chl1",1.85843783673469,5.10108325510204,3.54994939644271,0.00308101844497253,0.0759614281888578,-1.74262796837727
