"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Nkx2-4",-1.98211047994886,5.56761851745779,-14.2856848835188,1.15062175684364e-05,0.0770154576042719,3.16045604176424
"Malat1",4.74733296089756,9.97524105081768,12.1074717118781,2.86711974206608e-05,0.0770154576042719,2.64013395593809
"Mt4",-1.55393259209344,3.80468592847104,-11.4273609469764,3.93618153577679e-05,0.0770154576042719,2.43977366022999
"Gzmd",-2.92795102508316,1.4061442893167,-11.0427435648683,4.74585087036068e-05,0.0770154576042719,2.31678786346936
"Sprr2d",1.68210907044395,5.13658759514288,10.8255341313567,5.28877779279393e-05,0.0770154576042719,2.24398888496267
"Pycr1",-2.32993338562982,4.68448047961768,-10.808363418711,5.33471190978563e-05,0.0770154576042719,2.23812703181399
"Fgd2",-1.78369668615813,5.08526500380756,-9.97048291218515,8.26720220257381e-05,0.0965132401308985,1.93169049558099
"Atxn7",2.39078136442751,5.50409840658878,9.72880058405812,9.43927703975407e-05,0.0965132401308985,1.83533396076437
"Krt7",2.46296525263258,3.96623820968422,9.72639939788316,9.4518596595082e-05,0.0965132401308985,1.83435746868653
"Hvcn1",-2.31807450803819,4.76793415575846,-9.68785853337152,9.65652367968661e-05,0.0965132401308985,1.8186314961415
"Akap9",1.59132814193653,7.43054937584367,9.09055728962791,0.000135963528539477,0.105715426151751,1.56173079985567
"Olfr1509",-1.77118963767126,4.29705726557499,-8.35922197929351,0.000212642599637819,0.105715426151751,1.2102832636471
"Fpr1",1.62511740906033,4.35955485782004,8.1966919668997,0.000235953771908011,0.105715426151751,1.12610048395535
"Rhoh",-1.93480845844657,3.62336961945053,-7.95568843121173,0.000276224782196787,0.119632953169428,0.996890718234464
"Gbx2",-3.9663716738724,4.26581881835721,-7.72172075836126,0.000323164229318277,0.135447510694593,0.866231358245582
"Muc5b",-1.69834532429219,5.23409651592415,-7.56950168866455,0.00035868899206272,0.139093314999524,0.778345805488804
"Esrp1",1.50216147061819,2.06983554283874,7.44264657761122,0.000391793293765559,0.139093314999524,0.703311229852278
"Tiaf2",1.77666061067986,4.33053374398997,7.2654052804389,0.000444173346544487,0.139093314999524,0.595659839668119
"Lmcd1",-2.45521037958801,5.15198592125208,-7.24274492457679,0.000451439468579226,0.139093314999524,0.581654989686789
"Ccdc163",1.73027373764299,1.97252882514091,7.00545060742508,0.000536430354172597,0.144922907972008,0.431613521725724
"Sult1c2",2.03522938096467,4.65025620604476,6.54215324982429,0.000762015033338696,0.171062362777641,0.119986964374934
"H2-M10.1",-1.55316345759396,5.72777703695172,-6.4079563579792,0.000846720615971713,0.171928644273249,0.024851038616057
"Vmn1r58",2.28639144161999,4.80771344368888,6.22682672545155,0.000978909338407592,0.172117092867312,-0.107203292961229
