"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Nkx2-4",-1.98211047994886,5.56761851745779,-14.2856848835188,1.15062175684364e-05,0.0770154576042719,3.16045604176424
"Cbl",1.37179000850767,8.0763444737248,12.24920408572,2.68952417736562e-05,0.0770154576042719,2.67933363222173
"Malat1",4.74733296089756,9.97524105081768,12.1074717118781,2.86711974206608e-05,0.0770154576042719,2.64013395593809
"Pnliprp1",-1.02005199799319,3.20430735009847,-11.9286020446865,3.11121438444452e-05,0.0770154576042719,2.58944400879295
"Ap2b1",1.13872045891537,10.2681405169974,11.7676436080171,3.35187648807296e-05,0.0770154576042719,2.54263240311176
"Mt4",-1.55393259209344,3.80468592847104,-11.4273609469764,3.93618153577679e-05,0.0770154576042719,2.43977366022999
"Gzmd",-2.92795102508316,1.4061442893167,-11.0427435648683,4.74585087036068e-05,0.0770154576042719,2.31678786346936
"Sprr2d",1.68210907044395,5.13658759514288,10.8255341313567,5.28877779279393e-05,0.0770154576042719,2.24398888496267
"Pycr1",-2.32993338562982,4.68448047961768,-10.808363418711,5.33471190978563e-05,0.0770154576042719,2.23812703181399
"Fgd2",-1.78369668615813,5.08526500380756,-9.97048291218515,8.26720220257381e-05,0.0965132401308985,1.93169049558099
"Atxn7",2.39078136442751,5.50409840658878,9.72880058405812,9.43927703975407e-05,0.0965132401308985,1.83533396076437
"Krt7",2.46296525263258,3.96623820968422,9.72639939788316,9.4518596595082e-05,0.0965132401308985,1.83435746868653
"Hvcn1",-2.31807450803819,4.76793415575846,-9.68785853337152,9.65652367968661e-05,0.0965132401308985,1.8186314961415
"4921536K21Rik",-1.21151354147269,4.24199039488761,-9.1448548538866,0.000131691856786931,0.105715426151751,1.58614688092267
"Akap9",1.59132814193653,7.43054937584367,9.09055728962791,0.000135963528539477,0.105715426151751,1.56173079985567
"Map3k7",0.740929692699138,8.7463701006169,8.94852241932448,0.000147923878611447,0.105715426151751,1.49680755610292
"Scaf11",1.07711040874497,9.05341090073602,8.87943887492285,0.000154182175003554,0.105715426151751,1.46466891881078
"Sowaha",-1.0912605910951,6.21501344300276,-8.85511132664773,0.000156459104522976,0.105715426151751,1.45326264131528
"Pawr",-0.941139345815787,5.26040223187342,-8.65582628678805,0.000176662209153511,0.105715426151751,1.35805104369427
"4632415L05Rik",1.3443616595221,6.98997832838672,8.57854939603332,0.000185303415289105,0.105715426151751,1.32026288513396
"Lrrtm1",-1.16305336306535,8.08944732253638,-8.57401059204143,0.000185826071502238,0.105715426151751,1.31802806435864
"Kif5c",1.25473739071103,9.8183345613889,8.4889172263435,0.000195949943269182,0.105715426151751,1.27581075599827
"Olfr1509",-1.77118963767126,4.29705726557499,-8.35922197929351,0.000212642599637819,0.105715426151751,1.2102832636471
"Zic5",-1.39081568713707,6.49313172937035,-8.34090549170937,0.000215131088003874,0.105715426151751,1.20091220781018
"Evi5",1.05433664355472,10.2315127549853,8.32988964373774,0.000216644028589392,0.105715426151751,1.19526222839836
"Tenm4",1.13242002287432,7.80718360335403,8.2846527946083,0.000222988218653317,0.105715426151751,1.17194912439377
"Xkr6",1.31899089516077,8.37328723805788,8.19937768064083,0.000235545125185909,0.105715426151751,1.12751058586898
"Ro60",0.923807023472227,8.23991335944774,8.19765160284194,0.000235807663160618,0.105715426151751,1.12660440355359
"Fpr1",1.62511740906033,4.35955485782004,8.1966919668997,0.000235953771908011,0.105715426151751,1.12610048395535
"Rhoh",-1.93480845844657,3.62336961945053,-7.95568843121173,0.000276224782196787,0.119632953169428,0.996890718234464
"Gbx2",-3.9663716738724,4.26581881835721,-7.72172075836126,0.000323164229318277,0.135447510694593,0.866231358245582
"Muc5b",-1.69834532429219,5.23409651592415,-7.56950168866455,0.00035868899206272,0.139093314999524,0.778345805488804
"Rbm25",0.83748260732675,9.44462351191794,7.44996873994164,0.000389788620746579,0.139093314999524,0.707687408623871
"Esrp1",1.50216147061819,2.06983554283874,7.44264657761122,0.000391793293765559,0.139093314999524,0.703311229852278
"Trpc4",0.709659334782669,6.69773037570878,7.38627351635237,0.000407634483215616,0.139093314999524,0.669431785359717
"Nmrk1",-0.800330955062262,6.35316830550553,-7.373300709064,0.000411384410179109,0.139093314999524,0.661588114764184
"Sox21",-0.59160625430512,8.24219518598023,-7.36823819234754,0.000412858634561064,0.139093314999524,0.658522382775152
