"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Mptx1",2.86563977590121,4.02534234777085,16.5497011860125,1.9369469991221e-05,0.186597467351212,1.93525095897
"AA517841",2.1059702994658,4.69384907805812,14.9342930454132,3.15514771982029e-05,0.186597467351212,1.76894377472743
"Pla2g5",-2.09027379933013,4.59032688841843,-13.8844588621756,4.45589049315579e-05,0.186597467351212,1.63636981084551
"Gtsf1l",2.5762105669945,5.05782723279992,13.1574822214434,5.74455375513622e-05,0.186597467351212,1.530481615137
"Commd1",1.52961081686633,9.57301486634778,11.7375916690444,9.83025028779116e-05,0.196674895396221,1.28225273170928
"Akr1c21",2.07111465404979,5.40026005910376,11.3987841211685,0.000112764431373364,0.196674895396221,1.21339383995406
"Foxa1",2.92791073403593,4.03326944356106,11.0796143528455,0.000128785390638998,0.196674895396221,1.14459872598846
"BC051019",-1.92488130541549,2.8112232449229,-11.0548889898331,0.000130137000912834,0.196674895396221,1.13910224799891
"Esrp1",-2.14201829228692,2.98534068740529,-10.8233137890928,0.00014365930395899,0.196674895396221,1.08640639254187
"Msx2",-1.71667635702256,5.47051354389435,-10.6097495590475,0.000157649948136069,0.196674895396221,1.03579176168927
"Nexmif",-2.91424294897602,4.19069835646863,-10.4859767074131,0.000166506876730427,0.196674895396221,1.00553364154286
"Amh",-1.66320515214781,5.11511519044867,-9.91207971135193,0.00021627591458812,0.209610954694999,0.855747653602799
"Wnt3",-2.55735500764934,2.94381865812915,-9.71255086006589,0.000237640255772202,0.209610954694999,0.799758638592131
"Agr2",-4.23062584631175,1.49584089339413,-9.61951867936285,0.000248461930824705,0.209610954694999,0.772916945435477
"Zdhhc1",-1.69828713870081,5.88137516274098,-9.60027865572565,0.000250773077038628,0.209610954694999,0.767305971839239
"Nr2e3",1.20179254476593,3.83997846549975,9.37173609990618,0.000280296033031333,0.209610954694999,0.699046125252993
"Mt4",-1.49705654726967,3.85977366765902,-9.32932450746135,0.000286223319890145,0.209610954694999,0.686044839549239
"Bcl11b",-1.6248038102218,4.95522307189039,-9.18918457976599,0.000306905227334976,0.209610954694999,0.642317567353237
"St6galnac1",-3.52466349619415,2.21615862140303,-9.03769362638385,0.000331309064240617,0.209610954694999,0.593688852309659
"H2-Bl",1.04857499689641,6.42105907318926,9.02705035470822,0.000333109342827256,0.209610954694999,0.590218000992664
"Nmbr",-2.20795194015735,3.89424283862806,-8.99394271994222,0.000338784733979449,0.209610954694999,0.579375038014208
"Leap2",2.31596279559956,4.69497497338611,8.69850313580699,0.000394909882579635,0.233230186561691,0.479430339032919
"Spz1",-2.29157043161306,3.98212113765228,-8.4346059974414,0.000454678690375561,0.241630566397505,0.385082292499845
"Gm9744",1.02326497803924,5.78996274106535,8.35827309486891,0.000473944842679509,0.241630566397505,0.356854201840743
"Art5",2.2565923218399,5.56564240499794,8.33012828173276,0.000481293689430044,0.241630566397505,0.346336941098458
"Nox4",1.45455182186572,3.84554587900012,8.32169749576372,0.000483521490520674,0.241630566397505,0.343174936094856
"Tbx4",-1.57671495765975,4.29508878350777,-7.97011095785322,0.000588440502420082,0.275890569027551,0.206420072269418
"Prss39",-1.37292766142385,5.26072147887104,-7.94944514976625,0.000595413006183333,0.275890569027551,0.198075583069144
"BC002189",1.00662035494405,5.17365385262107,7.8100368568001,0.000645114597565518,0.275890569027551,0.140860592469133
"Spata5",1.00096961019786,9.18812545590012,7.78642496698595,0.00065401550018126,0.275890569027551,0.131008208476869
"Hesx1",1.80320030297722,6.00458594153858,7.77533306996007,0.000658247336246756,0.275890569027551,0.126363565338566
"Zfp820",-1.46955204071941,0.488821793455386,-7.66778449804701,0.000701021269491139,0.284636542328074,0.0807788229810082
"Dnajb13",-1.57980752276359,4.732891611112,-7.59142853301158,0.000733409949504504,0.288302997352941,0.0478009357076337
