"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Mptx1",2.86563977590121,4.02534234777085,16.5497011860125,1.9369469991221e-05,0.186597467351212,1.93525095897
"AA517841",2.1059702994658,4.69384907805812,14.9342930454132,3.15514771982029e-05,0.186597467351212,1.76894377472743
"Pla2g5",-2.09027379933013,4.59032688841843,-13.8844588621756,4.45589049315579e-05,0.186597467351212,1.63636981084551
"Gtsf1l",2.5762105669945,5.05782723279992,13.1574822214434,5.74455375513622e-05,0.186597467351212,1.530481615137
"Commd1",1.52961081686633,9.57301486634778,11.7375916690444,9.83025028779116e-05,0.196674895396221,1.28225273170928
"Akr1c21",2.07111465404979,5.40026005910376,11.3987841211685,0.000112764431373364,0.196674895396221,1.21339383995406
"Foxa1",2.92791073403593,4.03326944356106,11.0796143528455,0.000128785390638998,0.196674895396221,1.14459872598846
"BC051019",-1.92488130541549,2.8112232449229,-11.0548889898331,0.000130137000912834,0.196674895396221,1.13910224799891
"Esrp1",-2.14201829228692,2.98534068740529,-10.8233137890928,0.00014365930395899,0.196674895396221,1.08640639254187
"Msx2",-1.71667635702256,5.47051354389435,-10.6097495590475,0.000157649948136069,0.196674895396221,1.03579176168927
"Nexmif",-2.91424294897602,4.19069835646863,-10.4859767074131,0.000166506876730427,0.196674895396221,1.00553364154286
"Amh",-1.66320515214781,5.11511519044867,-9.91207971135193,0.00021627591458812,0.209610954694999,0.855747653602799
"Wnt3",-2.55735500764934,2.94381865812915,-9.71255086006589,0.000237640255772202,0.209610954694999,0.799758638592131
"Agr2",-4.23062584631175,1.49584089339413,-9.61951867936285,0.000248461930824705,0.209610954694999,0.772916945435477
"Zdhhc1",-1.69828713870081,5.88137516274098,-9.60027865572565,0.000250773077038628,0.209610954694999,0.767305971839239
"Bcl11b",-1.6248038102218,4.95522307189039,-9.18918457976599,0.000306905227334976,0.209610954694999,0.642317567353237
"St6galnac1",-3.52466349619415,2.21615862140303,-9.03769362638385,0.000331309064240617,0.209610954694999,0.593688852309659
"Nmbr",-2.20795194015735,3.89424283862806,-8.99394271994222,0.000338784733979449,0.209610954694999,0.579375038014208
"Leap2",2.31596279559956,4.69497497338611,8.69850313580699,0.000394909882579635,0.233230186561691,0.479430339032919
"Spz1",-2.29157043161306,3.98212113765228,-8.4346059974414,0.000454678690375561,0.241630566397505,0.385082292499845
"Art5",2.2565923218399,5.56564240499794,8.33012828173276,0.000481293689430044,0.241630566397505,0.346336941098458
"Tbx4",-1.57671495765975,4.29508878350777,-7.97011095785322,0.000588440502420082,0.275890569027551,0.206420072269418
"Hesx1",1.80320030297722,6.00458594153858,7.77533306996007,0.000658247336246756,0.275890569027551,0.126363565338566
"Dnajb13",-1.57980752276359,4.732891611112,-7.59142853301158,0.000733409949504504,0.288302997352941,0.0478009357076337
"Myl7",2.00848821468021,4.34516977589585,7.49560401165712,0.000776618556711533,0.288302997352941,0.00567697372035347
"Trpc6",1.52445064845164,3.95055582022349,7.29271445850817,0.000878549162037107,0.301906807465886,-0.0863029309593761
"Spata4",2.26784306744733,5.12068454124884,7.28455363879409,0.000882972268429435,0.301906807465886,-0.0900838708923608
"Serpinb9c",1.96021465516904,4.51083906728552,7.1734617054519,0.000945903639894407,0.315131435721744,-0.142193990173416
"E230006M18Rik",2.24540584381887,4.36568111104562,7.06002640014254,0.00101575401085134,0.328715353469617,-0.196657926126932
"Tulp2",2.56421779490987,4.25636322662283,7.00090191304252,0.00105459075292804,0.328715353469617,-0.225559327201378
"Pcdhb4",2.73352601979494,4.22506068190151,6.91645068285113,0.00111317444413631,0.328715353469617,-0.267464065010563
"Ccdc65",-1.93821692814411,3.11435791123633,-6.83638994678184,0.00117232095482293,0.338488137022539,-0.30787894192773
"Med22",-2.32120068210088,5.91661255343363,-6.76057386611163,0.00123180790251242,0.33956753095471,-0.346780744722786
