"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Ap2b1",2.43543467185469,8.39389152152295,11.0947900118516,2.02608596020063e-05,0.0526498697617734,3.12826384496416
"Kirrel",-7.98833887463737,-5.12116332485073,-10.0246879889192,3.76156070054018e-05,0.0543043979801317,2.66985664707341
"Tfec",2.57691831933372,1.66527983367663,9.48289714072489,5.26490359790891e-05,0.063508905746736,2.40824394622135
"Tnfsf14",2.20913463244526,4.15150174306537,6.62532833884539,0.00043309035752332,0.0924020745567324,0.595857119737496
"Rian",1.86584667095765,8.4150257130958,6.3948621576087,0.000529267850065977,0.0981270858349243,0.410297707520018
"Tssk2",-1.79073941050462,5.67728846745893,-5.64462296910977,0.00105832903449458,0.108091862979992,-0.244381628033873
"Ifi204",8.07369881089778,-1.76921314578015,5.63092762949586,0.00107245255114926,0.108091862979992,-0.257091912489309
"Calcoco2",8.1358014205903,-0.555866811948101,4.57786147651048,0.00319639928262161,0.147924624259255,-1.32319314259981
"Magea6",-1.95616807679228,2.24689278655169,-4.13566810379403,0.00529567925330705,0.158604104578418,-1.82576211938333
"Tex13b",-1.50841072055073,5.36798996475373,-4.13532892049125,0.00529778968575645,0.158604104578418,-1.82616039961278
"Mat1a",1.62748084894057,3.56074299662321,4.1044734156312,0.0054937357596501,0.158975743263104,-1.86247373765301
"Hoxb13",-1.57312566760439,5.04663681973431,-4.00551260973946,0.00617842921849327,0.165661732192195,-1.9800281491321
"Zfp369",3.28611336069032,1.40706392585265,3.94070314878956,0.00667782399214483,0.168102319874667,-2.05791034979517
"Malat1",-1.99584803994092,9.09301397944771,-3.91751131748533,0.00686724073070609,0.16898874775391,-2.08595153326811
"D12Ertd123e",-1.70594640460499,6.96882557238876,-3.68374336442154,0.00914566780795306,0.181696730624976,-2.37357417828357
"Fshb",-7.10699892713214,-0.976835299230126,-3.41152310084431,0.0129022404828782,0.199459644182951,-2.71952547870999
"Pkp1",-1.65364124374678,7.43144923133858,-3.40886353745117,0.0129464028907316,0.199459644182951,-2.72296118251457
"Fabp4",2.23753330545523,4.49097739405957,3.18182103828729,0.0173979668104876,0.217122147119206,-3.01997178756388
"Ctbs",-1.82734928395951,2.28869610657014,-3.0981303481515,0.0194366248342843,0.220559010019089,-3.13119543246583
"Gucy2e",2.61680161281806,1.36678987090679,3.0908777984134,0.0196250639101544,0.221381496662667,-3.14087496353203
"Krtap9-3",7.12262711006476,-4.45112825809206,2.83262602011028,0.0277975640628717,0.241743096552019,-3.48935789473836
"Esm1",2.75231072332332,1.63731937108659,2.77140587351116,0.0302263998851473,0.247467935543617,-3.57291447462005
"Gm4788",-1.70302315097127,2.80204397372164,-2.73509731334502,0.0317726289770256,0.250498645812193,-3.62261039486981
"Prg3",2.0971672568549,2.73603355881745,2.71782135138585,0.0325375917773348,0.251075529645035,-3.64628980569216
"AA517545",1.67757959235003,1.27987578218841,2.7059792766095,0.0330732013240793,0.253223397055841,-3.66253308233711
"Gbp6",1.62484967578255,3.17133932146746,2.66072768118369,0.0352073959279171,0.257592459631189,-3.72468580848718
"Ppp1r14bl",-1.62048968394029,3.40890610760699,-2.65406124612771,0.0355339000570036,0.257592459631189,-3.73385253918132
"Tdrd1",6.80181619171968,0.095267138325929,2.6258412171723,0.0369518330260396,0.26030060790274,-3.77268383783538
"S100g",-7.45401271879025,-1.26291791374299,-2.55643546685552,0.0406985756136945,0.26615707024688,-3.86835046948561
"AI594671",8.05273871826222,-4.84459629486441,2.44407573909845,0.0476315669918408,0.278716611983504,-4.02356031731754
"Cpa5",3.83444746197643,2.75222619222739,2.41115771245186,0.0498880978260151,0.283728659983806,-4.06907124355543
