,logFC,AveExpr,t,P.Value,adj.P.Val,B
Tnfsf14,2.483307322,4.156169234,12.71860311,8.95E-06,0.116230349,2.635138166
Fam187a,1.541989597,2.43465724,6.362568782,0.000551389,0.289800873,0.160699348
Lrrtm2,-1.585738677,2.96131399,-5.152763337,0.001745306,0.3058091,-0.769331267
Cabp7,-2.163157308,4.68712356,-4.420619172,0.003840947,0.330703241,-1.45026235
Ccdc25,-1.50047325,4.606378422,-4.330465843,0.004255229,0.331784479,-1.540849469
Mfsd4b5,-1.721904327,2.13587017,-3.997931275,0.006274335,0.358701489,-1.888098784
Ncapg,1.737834749,4.091832698,3.59979536,0.010211244,0.37057918,-2.330887269
Apof,-4.94375267,0.609156091,-3.518551313,0.011311717,0.37428056,-2.424778326
Myom2,1.627887031,1.346247424,3.471553293,0.012007141,0.376123781,-2.479622552
S100a9,1.724635689,6.425946343,3.363646609,0.013787165,0.381117666,-2.606983575
Lect2,-1.940462099,2.319050962,-3.330178566,0.014396205,0.382571738,-2.646884985
Rpgrip1,2.323923133,7.773908152,3.278104926,0.015402797,0.38566077,-2.709335734
Scrt1,-1.501372634,5.513762216,-3.187735933,0.017335749,0.397683664,-2.818748218
S100a8,1.904512479,6.489504483,3.095862691,0.019573044,0.400705799,-2.931276372
D15Ertd55e,2.529382377,5.1201844,2.708516261,0.033057769,0.437580653,-3.418229903
Omt2a,3.472605321,-0.059837197,2.650789331,0.03579891,0.442565485,-3.492231187
Ptger1,-1.817099032,4.078226627,-2.621145081,0.037298915,0.444916578,-3.530343807
