"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Tnfsf14",2.4833073218556,4.15616923373743,12.7186031101532,8.94561291097951e-06,0.116230348552357,2.63513816611511
"Sod1",1.10571371474055,10.9403527091918,10.4942632916682,2.90679697397469e-05,0.161820056441669,2.07617489316423
"Magi2",-1.0392724744682,6.79077958225432,-10.0493115017128,3.78068571172738e-05,0.161820056441669,1.935092677415
"Efcab14",-0.964508040381267,6.47289578277334,-9.32920592252388,5.91919930066453e-05,0.161820056441669,1.68051162582624
"Csnk1g1",-0.91469248750318,5.54657950726096,-9.21585623321875,6.36960184076429e-05,0.161820056441669,1.63719292341243
"Alad",0.802977268456585,8.2003331213498,8.71710159347483,8.88085818707087e-05,0.161820056441669,1.43501499517744
"Sgk1",-1.28612280204247,8.86779241185212,-8.66452908346092,9.20628983107409e-05,0.161820056441669,1.41255011782658
"Ncam2",-1.39207026508131,6.27972521761938,-8.55002018430118,9.96352229302975e-05,0.161820056441669,1.36281920681742
"Il13ra2",-1.18591369603442,6.17110795590913,-8.31733434453853,0.000117328099009319,0.16938266560312,1.25828498584362
"Zfp612",-1.01045097841676,5.28787562728303,-7.9446062764889,0.00015371504413133,0.199721956839837,1.08058320040646
"Irak1",-0.634040401743135,6.6933753663171,-7.66255206165852,0.000189935210867935,0.223024179106891,0.937149828944134
"Nudt19",1.34202155326837,8.39423987231161,7.32943449388488,0.000245927632854881,0.223024179106891,0.757057060313095
"Dmp1",-0.651277852720855,4.82340551920115,-7.31845211819325,0.000248071576368375,0.223024179106891,0.75091331458755
"Syn2",-0.70850021514106,8.03513698872364,-7.30049863712474,0.000251622472368028,0.223024179106891,0.740840681313578
"Akap9",-0.771919090825449,5.93602907184653,-7.27153335429758,0.000257474231247854,0.223024179106891,0.724513477336816
"Ankhd1",-0.801430895828523,6.23194207952582,-7.0638217169348,0.000304291899195903,0.247104040390773,0.604611260041611
"Cdh13",-0.77589106329931,6.09724323491416,-6.7866325728883,0.000382670781749212,0.28529055889411,0.436604644158626
