"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LINC00487",3.87322191082659,3.49475441993999,8.53437711785385,2.7373093480027e-06,0.0552717503548705,2.26656659847636
"ZNF485",3.8369325989025,3.81662529349134,7.78882695177378,6.74063008799824e-06,0.0680534013684302,1.87301116739654
"TMEM120B",3.35718528740586,4.70768412503585,6.81163265582436,2.41964812449937e-05,0.161724951973808,1.25347604433333
"MEIG1",3.52179589807631,5.02975278115319,6.60844274526918,3.20374310566182e-05,0.161724951973808,1.10774618640532
"BCDIN3D-AS1",3.25179305302129,4.3090026971161,6.20764586967655,5.66319029150778e-05,0.22870227673225,0.801397558976169
"IFNB1",-3.77425639229948,2.63692918101604,-6.02475045193895,7.39766974676732e-05,0.248956245877876,0.652877900800768
"LINC01990",3.59693534050517,4.31903487760204,5.88777602332408,9.0637309849837e-05,0.261449794355415,0.537926633869541
"ZNF850",3.53465457598911,3.85701932402677,5.72244632197794,0.000116222935125766,0.27460035301285,0.394832407299812
"HSPB2",2.96188881959775,5.60275754919454,5.6017436392488,0.000139694872426165,0.27460035301285,0.287303645907997
"ZAN",3.10333883372216,4.33188661511858,5.57630554397311,0.000145254879746174,0.27460035301285,0.26430828093913
"SCGN",-3.68746304224599,3.69658958173429,-5.54016136491631,0.000153561749012136,0.27460035301285,0.231433725467483
"GALP",-4.67145765058151,2.74098847167244,-5.50076030605615,0.000163193553692264,0.27460035301285,0.195326902088391
"NTRK3-AS1",2.75588914449929,4.3348918272779,5.43793576902753,0.00017989807204294,0.278268174307038,0.137169622394731
"TNNT1",-2.97502891154047,2.87991018296812,-5.35076692271524,0.000206135146504858,0.278268174307038,0.0552775538595691
"SPATS1",3.79802151109428,4.18291161390619,5.34897048569857,0.000206716650881813,0.278268174307038,0.0535751403231997
"EMG1",3.07937630661981,5.75558295519966,5.16905141903344,0.000274731840907977,0.337123309611737,-0.119960952093505
"KRT85",-2.89801313888314,3.64922506948871,-5.14862665667646,0.000283830044740468,0.337123309611737,-0.14004260769739
"DNAJB5",2.50907069359685,4.60985108580289,4.98907991646487,0.000366828736852902,0.406082327710945,-0.299604297351467
"DOK4",2.84243343014187,4.38378849835229,4.96389840392575,0.000382109955750196,0.406082327710945,-0.325225987462916
"PHKG2",2.63684562579525,5.48332467928371,4.90029433896605,0.000423769622977527,0.417666444879159,-0.390474605121682
"ASPG",-2.85079125269004,3.06158742278812,-4.8651574700635,0.000448809206012768,0.417666444879159,-0.426847476136925
"ZNF763",3.39519591840436,3.5677619850317,4.85670150869447,0.000455064470450748,0.417666444879159,-0.435635696801207
"CLCN2",3.66407863225199,5.16163787482703,4.77236993587539,0.000522705858751195,0.444203806570191,-0.52401967412674
"AKT1S1",2.36918804840808,4.43354844494883,4.76628813112601,0.000527975998300544,0.444203806570191,-0.530445627995227
"SMC1B",-2.69981617529955,3.20017844306248,-4.71098501671633,0.000578538860451737,0.452128742360956,-0.589198280753788
"FKRP",3.37252390623155,5.14849042673516,4.70720196871684,0.000582178451930708,0.452128742360956,-0.593238362164149
"UBAP1L",2.71430455270808,4.94434253443814,4.60039075261394,0.00069550800869388,0.492223992991202,-0.708417592099425
"ABCA6",3.15070409879504,4.45583792804582,4.59325601272398,0.000703859171906883,0.492223992991202,-0.716187600659655
"UBE2DNL",-2.73734921725896,3.09645442554341,-4.59064784360306,0.000706938183277776,0.492223992991202,-0.719030377731659
"MGC12916",2.59547761219273,3.92797557310998,4.55908784259158,0.000745334298058959,0.499794907324994,-0.753530129055226
"LOC101928861",-2.75023436934241,2.97207389562673,-4.54177752386805,0.000767315873963689,0.499794907324994,-0.772531918589735
"LMNB2",2.72126624358669,4.3786134415079,4.51912012314491,0.000797117865499028,0.502981373129887,-0.797487739779229
"CABP2",-3.36326738234378,2.88014405647938,-4.46441138957813,0.000874181154350628,0.522854503012456,-0.858139937670451
"ZBED6CL",3.35981266901863,3.91250186272108,4.46021807741012,0.000880400807370419,0.522854503012456,-0.862811717808198
"GRAPL",3.5015664407351,4.20644213984635,4.40622687581523,0.000964745574218787,0.544434232887418,-0.923253719476189
"LRRC46",4.20525638930644,5.2179908218573,4.40262590625015,0.00097066325197836,0.544434232887418,-0.927304044311037
"ALK",-2.40431190148325,6.08279665349833,-4.35722123897337,0.00104861841441303,0.545861538610537,-0.978578847301556
"SLC25A15",2.80040727827819,5.16138012869195,4.35626120257179,0.0010503355671489,0.545861538610537,-0.979667077760751
"C11orf40",-2.66093426637091,1.67501859150257,-4.35404617964696,0.00105430863737178,0.545861538610537,-0.982178516133616
"BCRP3",2.33883278995762,4.02875828220571,4.33566595220604,0.00108788838497711,0.549166056736446,-1.0030529420476
"LOC101926963",-2.4826158257255,3.25013792841185,-4.27958101005868,0.00119742378961323,0.570378695174934,-1.06712826355897
"TMPRSS11D",2.48066270761715,4.7973613278374,4.23909504955002,0.00128359872554165,0.570378695174934,-1.113735378404
"SIRT4",2.65774404021386,4.64753073824806,4.23882418330541,0.0012841965469267,0.570378695174934,-1.11404818887961
"LINC01227",-2.50279153257902,1.73920609424966,-4.22908638602297,0.00130588231661461,0.570378695174934,-1.12530262998053
"LOC101927044",2.87681723573804,3.87168475270293,4.22039653344954,0.0013255563622056,0.570378695174934,-1.13536022811111
"LINC00327",-2.39299125477883,2.80720690874425,-4.21971619328851,0.00132710964018777,0.570378695174934,-1.13614822014234
"TMEM238",-3.57262927307302,2.29652350353747,-4.21088387585437,0.00134744748983209,0.570378695174934,-1.14638558973845
"ASIC2",-2.81848887768583,3.80507195318427,-4.19629272703714,0.00138175972481239,0.570378695174934,-1.16332834095541
"C15orf56",-3.08531828049846,3.67775840778032,-4.19529452714068,0.00138414005861588,0.570378695174934,-1.16448880027563
"TLL1",-1.91623964232324,4.16653319616232,-4.15962968252643,0.00147204840604979,0.590919930379315,-1.20606683474828
"BTN3A2",2.33923609335688,4.94065897067638,4.15129163259987,0.00149342576624678,0.590919930379315,-1.21581970670958
"OAS3",3.06251381637317,5.16847349237872,4.13451414441122,0.00153742436775355,0.590919930379315,-1.23548106022454
"CNPY4",2.3800788424291,5.76392122125201,4.11106979990936,0.00160117557944135,0.590919930379315,-1.26303774486843
"ARFGAP2",1.90251860894285,7.34056801425755,4.109204692495,0.00160636384519536,0.590919930379315,-1.26523412451771
"NAT14",2.38207329646289,6.61509646909126,4.0886021939915,0.00166485063977278,0.590919930379315,-1.28953615489278
"ZBTB8B",2.34929207396622,4.82941855901313,4.08571918653502,0.00167320967368203,0.590919930379315,-1.29294272381694
"VWA3B",4.94837404428963,4.82663224296563,4.08178003410664,0.00168470142463966,0.590919930379315,-1.29759955964347
"OSM",-2.413219022828,3.62643054795513,-4.06015065615163,0.00174927804114451,0.590919930379315,-1.32321733214801
"ZNF219",2.016540963274,5.22447845512831,4.05289873072221,0.00177150014938564,0.590919930379315,-1.33182449677491
"LOC100631378",2.60768931965811,3.19706027140942,4.03349966455174,0.00183239632285603,0.590919930379315,-1.35489309875227
"LINC01649",-3.03478343229242,3.71406445578041,-4.02927888811393,0.00184593116484144,0.590919930379315,-1.35992078406417
"CNOT10",2.37999459014108,5.01531742940247,4.02893584602704,0.0018470357508098,0.590919930379315,-1.36032954062104
"ZNF296",2.94621423155945,3.66950166845911,3.99277568905789,0.00196740179703885,0.590919930379315,-1.40352854534429
"KCNN4",2.84602850783302,4.00350777277188,3.99236897426937,0.00196880094202169,0.590919930379315,-1.40401568580358
"TCN1",2.53850214071062,3.78947081030544,3.99108204705606,0.00197323491508894,0.590919930379315,-1.4055572792427
"IGFN1",2.228117795909,4.29650472223802,3.98384527817804,0.00199836188574076,0.590919930379315,-1.41423129234831
"IQGAP3",2.77735630550572,5.38471696591213,3.98045567826643,0.00201024479277657,0.590919930379315,-1.41829709868292
"RAB11FIP4",2.81757354652278,6.49791789122214,3.97689649962594,0.00202280101082093,0.590919930379315,-1.42256838523786
"SV2A",-2.21711524167235,7.28201087799635,-3.97166381538482,0.0020414088150407,0.590919930379315,-1.42885185448226
"SLC4A11",2.72007347343314,4.60449290065024,3.96414189423916,0.0020684684977828,0.590919930379315,-1.43789227634373
"PSMG3-AS1",2.48473988982396,5.85854883903955,3.95927243157624,0.00208618397054206,0.590919930379315,-1.44374979762528
"ZNF300",2.54518893627108,5.33006497670596,3.95186737106783,0.00211342585602648,0.590919930379315,-1.45266496875854
"HHIP-AS1",2.63907282191051,5.01718097513042,3.93929475389002,0.00216052491959441,0.590919930379315,-1.46782233295812
