"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LINC00487",-4.34514237382978,3.41850407905585,-10.7952055165878,2.58317443506949e-07,0.00521129610530918,4.01054645970877
"ZNF485",-4.28078723817811,3.73209052322488,-8.21178433021009,4.14649900423304e-06,0.0302763258836809,2.74675915215762
"TMEM120B",-3.50137645523138,4.73908415912913,-8.14327205879663,4.50227905477559e-06,0.0302763258836809,2.70396250679203
"BCDIN3D-AS1",-3.49675771494985,4.28480490373179,-7.38286215532324,1.16286273727983e-05,0.0586489821547084,2.18851967346136
"SPATS1",-4.08319761683116,4.14573229675037,-7.01517527980517,1.88540020982198e-05,0.0691823088228047,1.910517638876
"ZNF850",-3.83526567068408,3.80035414727937,-6.95001640829524,2.05756841943506e-05,0.0691823088228047,1.85914762236248
"MEIG1",-3.73948657819709,4.99037425563764,-6.31685509884591,4.94886634282432e-05,0.133991400414726,1.32491030375566
"IFNB1",3.5628273458134,2.64896651769156,6.2427340810539,5.50341494619863e-05,0.133991400414726,1.25803918891136
"TNNT1",2.91684256487587,2.90145695497491,6.1854103790537,5.977607830537e-05,0.133991400414726,1.20567630386651
"ZAN",-3.23754285687654,4.32141352602827,-5.97482482232302,8.12959500067661e-05,0.148718280408644,1.00840334839106
"HSPB2",-3.0584794230942,5.65526984926465,-5.95207757345831,8.40722706100836e-05,0.148718280408644,0.986626371842682
"LINC01990",-3.6816072487872,4.29708360967712,-5.91769798354591,8.84613544613722e-05,0.148718280408644,0.953538291668823
"GALP",4.49398843222495,2.78669136576815,5.69399746327282,0.000123682079402571,0.178226315639697,0.733046049566941
"NTRK3-AS1",-2.93300449724735,4.32745782320831,-5.69399583539075,0.000123682384205202,0.178226315639697,0.733044411969824
"CLCN2",-3.90520205634235,5.20018290768073,-5.64053175208864,0.000134136180770782,0.18040422072465,0.678999444572177
"UBAP1L",-2.78072102162033,4.99172886954138,-5.47175030036145,0.000173755369901829,0.208530502447799,0.504927086167788
"DOK4",-3.07326649625963,4.37379047352684,-5.43699085829449,0.000183358846832407,0.208530502447799,0.468421689044483
"ZBED6CL",-3.76599407011757,3.84772148121958,-5.42756530220349,0.000186058741154971,0.208530502447799,0.458483867873674
"ZNF763",-3.59260803594789,3.51999956053458,-5.29673146442813,0.000228208791617705,0.242309692741873,0.318823047059758
"CABP2",3.11669998489904,2.91395871798215,5.15050603734066,0.000287536556698046,0.277939785094902,0.158926293679156
"GRAPL",-3.76134861715646,4.21492006717138,-5.14662019743394,0.00028931969302037,0.277939785094902,0.154622169713475
"SCGN",3.51638533313619,3.70047338704402,5.08516981357415,0.000319124608425191,0.2926372659259,0.0861780864541561
"PDCD1LG2",2.70894908996365,2.45815913890221,5.02392519365104,0.000352070732953483,0.299479228358915,0.0172535839965651
"C11orf40",2.48354762717693,1.79661833129851,4.98149530908059,0.000376986165709959,0.299479228358915,-0.0309123108229405
"ABCA6",-3.29993220453278,4.50926097697641,-4.98128691002297,0.000377113028328125,0.299479228358915,-0.0311497219295545
"DNAJB5",-2.54943955032246,4.62557627697287,-4.9647710188954,0.000387311505192182,0.299479228358915,-0.0499909292693657
"KRT85",2.76691643752894,3.63097185006653,4.92583031281947,0.000412524650050274,0.299479228358915,-0.0946179903739726
"PHKG2",-2.65245021399513,5.47196589012434,-4.92117176979475,0.000415654723607099,0.299479228358915,-0.0999759609121034
"LRRC46",-4.50869236212015,5.36158303165408,-4.89922956196407,0.000430737609996257,0.299644846347051,-0.125267571352089
"TCN1",-2.79526390279892,3.7572765051794,-4.86794383823303,0.000453247082401449,0.304793554678894,-0.161485861997769
"FKRP",-3.40277168865911,5.12183226569488,-4.73893074145841,0.000559992930830864,0.354498851872776,-0.312783206305535
"OAS3",-3.17069159868739,5.21033687954321,-4.7226078494831,0.000575273170328573,0.354498851872776,-0.332147813161865
"HHIP-AS1",-2.74219531827419,5.04314254287467,-4.70626432906363,0.000591012041990357,0.354498851872776,-0.351586742982931
"LOC646736",2.91601256956861,3.23365480276628,4.6762350591504,0.000621120333376602,0.354498851872776,-0.387433274182619
"EMG1",-3.07448630416436,5.70836594308975,-4.67597975768456,0.000621383101250046,0.354498851872776,-0.387738752421408
"LOC100631378",-2.84992440397384,3.17710067656134,-4.66519132648051,0.00063259436241796,0.354498851872776,-0.400658614153821
"LOC101926963",2.38504904748995,3.24974011405557,4.59884148501428,0.000706377133219108,0.385147359069251,-0.480591755236667
"FDXACB1",-3.57913443346092,3.50310829635987,-4.51761764327864,0.000809166444546636,0.419956020059698,-0.579549742269089
"LOC101927044",-3.11163683876155,3.83929350898979,-4.48284280943173,0.000857856659882041,0.419956020059698,-0.622286608974
"VWA3B",-5.48921782276314,4.89665690660765,-4.48220932206636,0.000858771563667311,0.419956020059698,-0.623067182668295
"ASPG",2.68328748901045,3.03669798831096,4.48017928851842,0.000861710291301555,0.419956020059698,-0.625569051410963
"LMNB2",-2.87568835426358,4.35832722400611,-4.47156288659422,0.000874301221498331,0.419956020059698,-0.636196476672265
"RAB11FIP4",-2.95305112609082,6.49299958779246,-4.45610799768353,0.000897369660294487,0.421012454111186,-0.655292218676764
"MGC12916",-2.74249185760533,3.92210739426736,-4.40506825000957,0.000978182140134109,0.428705132495097,-0.718662654673147
"CCDC40",-3.74880837293749,4.87761344723863,-4.39649961741913,0.000992478249455787,0.428705132495097,-0.729347356906047
"TREML1",2.34929846421905,3.55250291360452,4.38540890389246,0.00101130715391839,0.428705132495097,-0.74319652555682
"LOC100652999",-3.13395180654005,3.37940351700703,-4.38035067895173,0.00102001815999627,0.428705132495097,-0.749520130705555
"PLD4",-3.09165223674007,3.8606475279549,-4.34816973220294,0.00107730573554947,0.428826489425405,-0.789858485466091
"ZBTB8B",-2.44344895298505,4.8464846435602,-4.3392824855241,0.00109371149557911,0.428826489425405,-0.801030989915361
"KCNN4",-2.9728325930752,3.96197275162514,-4.33813544348562,0.00109584784832065,0.428826489425405,-0.802474002194613
"LOC102724156",-3.12858216211818,4.49988725695445,-4.32728003035609,0.00111628292561008,0.428826489425405,-0.816141969045741
"GBA3",3.03839382530018,2.80556191337245,4.32188377674424,0.00112658887377548,0.428826489425405,-0.822944109055832
"AKT1S1",-2.44524524049515,4.44217443443853,-4.30043523392084,0.00116854385557933,0.436559328564025,-0.850031445659576
"IQGAP3",-2.97969466256723,5.38174276055778,-4.27214865393948,0.00122638135615421,0.442532578121191,-0.885878155744036
"LINC00327",2.36346914740793,2.83819747429777,4.27118473212828,0.00122840410304286,0.442532578121191,-0.887102172217809
"CSNK1G2-AS1",-2.45534162260059,4.24308965373113,-4.2602627104896,0.00125156798930561,0.442967238881604,-0.900982606914878
"SLC4A11",-2.92579420848281,4.60007295356193,-4.24382868963809,0.00128728356867345,0.447752736455485,-0.921907198502221
"TMEM238",3.33178866488765,2.35229036372337,4.23290034821438,0.00131162050734491,0.448485290087732,-0.935847643795142
"S100A5",2.27650684199393,2.71239008467509,4.20058156077045,0.001386437784676,0.461464623525389,-0.977194922827828
"NANOS2",2.65229798770129,3.28818603805065,4.19116509931093,0.00140906281384506,0.461464623525389,-0.989275718685921
