From,To,Species,Gene Name
Tesc,57816,Mus musculus,tescalcin(Tesc)
Hexb,15212,Mus musculus,hexosaminidase B(Hexb)
Olfml3,99543,Mus musculus,olfactomedin-like 3(Olfml3)
Spg21,27965,Mus musculus,spastic paraplegia 21 homolog (human)(Spg21)
Cd84,12523,Mus musculus,CD84 antigen(Cd84)
Rin2,74030,Mus musculus,Ras and Rab interactor 2(Rin2)
Ms4a7,109225,Mus musculus,"membrane-spanning 4-domains, subfamily A, member 7(Ms4a7)"
Tubb6,67951,Mus musculus,"tubulin, beta 6 class V(Tubb6)"
Sphk1,20698,Mus musculus,sphingosine kinase 1(Sphk1)
Rxfp2,140498,Mus musculus,relaxin/insulin-like family peptide receptor 2(Rxfp2)
Cp,12870,Mus musculus,ceruloplasmin(Cp)
Glipr2,384009,Mus musculus,GLI pathogenesis-related 2(Glipr2)
Gadd45b,17873,Mus musculus,growth arrest and DNA-damage-inducible 45 beta(Gadd45b)
Gadd45a,13197,Mus musculus,growth arrest and DNA-damage-inducible 45 alpha(Gadd45a)
Sox4,20677,Mus musculus,SRY (sex determining region Y)-box 4(Sox4)
Junb,16477,Mus musculus,jun B proto-oncogene(Junb)
Gadd45g,23882,Mus musculus,growth arrest and DNA-damage-inducible 45 gamma(Gadd45g)
Hpgd,15446,Mus musculus,hydroxyprostaglandin dehydrogenase 15 (NAD)(Hpgd)
A2m,232345,Mus musculus,alpha-2-macroglobulin(A2m)
Slc39a14,213053,Mus musculus,"solute carrier family 39 (zinc transporter), member 14(Slc39a14)"
Dhrs1,52585,Mus musculus,dehydrogenase/reductase (SDR family) member 1(Dhrs1)
Capg,12332,Mus musculus,"capping protein (actin filament), gelsolin-like(Capg)"
Irf8,15900,Mus musculus,interferon regulatory factor 8(Irf8)
Ly86,17084,Mus musculus,lymphocyte antigen 86(Ly86)
Wif1,24117,Mus musculus,Wnt inhibitory factor 1(Wif1)
Abca1,11303,Mus musculus,"ATP-binding cassette, sub-family A (ABC1), member 1(Abca1)"
S100a6,20200,Mus musculus,S100 calcium binding protein A6 (calcyclin)(S100a6)
Cmtm3,68119,Mus musculus,CKLF-like MARVEL transmembrane domain containing 3(Cmtm3)
Myoc,17926,Mus musculus,myocilin(Myoc)
Serping1,12258,Mus musculus,"serine (or cysteine) peptidase inhibitor, clade G, member 1(Serping1)"
B2m,12010,Mus musculus,beta-2 microglobulin(B2m)
Il2rg,16186,Mus musculus,"interleukin 2 receptor, gamma chain(Il2rg)"
S100a4,20198,Mus musculus,S100 calcium binding protein A4(S100a4)
Prkca,18750,Mus musculus,"protein kinase C, alpha(Prkca)"
Tfec,21426,Mus musculus,transcription factor EC(Tfec)
Chl1,12661,Mus musculus,cell adhesion molecule L1-like(Chl1)
F3,14066,Mus musculus,coagulation factor III(F3)
Cd68,12514,Mus musculus,CD68 antigen(Cd68)
Serpina3n,20716,Mus musculus,"serine (or cysteine) peptidase inhibitor, clade A, member 3N(Serpina3n)"
Zfp36l2,12193,Mus musculus,"zinc finger protein 36, C3H type-like 2(Zfp36l2)"
Fcgr2b,14130,Mus musculus,"Fc receptor, IgG, low affinity IIb(Fcgr2b)"
Sat1,20229,Mus musculus,spermidine/spermine N1-acetyl transferase 1(Sat1)
Ifit1,15957,Mus musculus,interferon-induced protein with tetratricopeptide repeats 1(Ifit1)
Robo3,19649,Mus musculus,roundabout guidance receptor 3(Robo3)
Casp4,12363,Mus musculus,"caspase 4, apoptosis-related cysteine peptidase(Casp4)"
Scn10a,20264,Mus musculus,"sodium channel, voltage-gated, type X, alpha(Scn10a)"
Tlr1,21897,Mus musculus,toll-like receptor 1(Tlr1)
Tlr2,24088,Mus musculus,toll-like receptor 2(Tlr2)
Pla2g15,192654,Mus musculus,"phospholipase A2, group XV(Pla2g15)"
Igfbpl1,75426,Mus musculus,insulin-like growth factor binding protein-like 1(Igfbpl1)
Trim30a,20128,Mus musculus,tripartite motif-containing 30A(Trim30a)
Gpr65,14744,Mus musculus,G-protein coupled receptor 65(Gpr65)
Ucp2,22228,Mus musculus,"uncoupling protein 2 (mitochondrial, proton carrier)(Ucp2)"
Ptx3,19288,Mus musculus,pentraxin related gene(Ptx3)
Irs4,16370,Mus musculus,insulin receptor substrate 4(Irs4)
Ggta1,14594,Mus musculus,"glycoprotein galactosyltransferase alpha 1, 3(Ggta1)"
Apln,30878,Mus musculus,apelin(Apln)
Ankrd1,107765,Mus musculus,ankyrin repeat domain 1 (cardiac muscle)(Ankrd1)
Hmox1,15368,Mus musculus,heme oxygenase 1(Hmox1)
Ccnd1,12443,Mus musculus,cyclin D1(Ccnd1)
Gpnmb,93695,Mus musculus,glycoprotein (transmembrane) nmb(Gpnmb)
Hbegf,15200,Mus musculus,heparin-binding EGF-like growth factor(Hbegf)
Il1r1,16177,Mus musculus,"interleukin 1 receptor, type I(Il1r1)"
Mdm1,17245,Mus musculus,transformed mouse 3T3 cell double minute 1(Mdm1)
Gdnf,14573,Mus musculus,glial cell line derived neurotrophic factor(Gdnf)
Mafb,16658,Mus musculus,"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)(Mafb)"
Lrg1,76905,Mus musculus,leucine-rich alpha-2-glycoprotein 1(Lrg1)
Crlf1,12931,Mus musculus,cytokine receptor-like factor 1(Crlf1)
Pter,19212,Mus musculus,phosphotriesterase related(Pter)
D12Ertd123e,52532,Mus musculus,"DNA segment, Chr 12, ERATO Doi 123, expressed(D12Ertd123e)"
Kirrel,170643,Mus musculus,kin of IRRE like (Drosophila)(Kirrel)
Rnase4,58809,Mus musculus,"ribonuclease, RNase A family 4(Rnase4)"
Slc22a4,30805,Mus musculus,"solute carrier family 22 (organic cation transporter), member 4(Slc22a4)"
Svs6,20945,Mus musculus,seminal vesicle secretory protein 6(Svs6)
H2-D1,14964,Mus musculus,"histocompatibility 2, D region locus 1(H2-D1)"
Phxr2,18687,Mus musculus,per-hexamer repeat gene 2(Phxr2)
Igfbp3,16009,Mus musculus,insulin-like growth factor binding protein 3(Igfbp3)
Cd109,235505,Mus musculus,CD109 antigen(Cd109)
Tdgf1,21667,Mus musculus,teratocarcinoma-derived growth factor 1(Tdgf1)
Igfbp2,16008,Mus musculus,insulin-like growth factor binding protein 2(Igfbp2)
Fabp4,11770,Mus musculus,"fatty acid binding protein 4, adipocyte(Fabp4)"
Flnc,68794,Mus musculus,"filamin C, gamma(Flnc)"
Ccl3,20302,Mus musculus,chemokine (C-C motif) ligand 3(Ccl3)
Myl4,17896,Mus musculus,"myosin, light polypeptide 4(Myl4)"
Tyrobp,22177,Mus musculus,TYRO protein tyrosine kinase binding protein(Tyrobp)
Sgpl1,20397,Mus musculus,sphingosine phosphate lyase 1(Sgpl1)
Pdpn,14726,Mus musculus,podoplanin(Pdpn)
Timp1,21857,Mus musculus,tissue inhibitor of metalloproteinase 1(Timp1)
Hvcn1,74096,Mus musculus,hydrogen voltage-gated channel 1(Hvcn1)
Ccl6,20305,Mus musculus,chemokine (C-C motif) ligand 6(Ccl6)
Nfkbiz,80859,Mus musculus,"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, zeta(Nfkbiz)"
Col5a2,12832,Mus musculus,"collagen, type V, alpha 2(Col5a2)"
Col5a3,53867,Mus musculus,"collagen, type V, alpha 3(Col5a3)"
Dhcr24,74754,Mus musculus,24-dehydrocholesterol reductase(Dhcr24)
Exosc9,50911,Mus musculus,exosome component 9(Exosc9)
Fyb,23880,Mus musculus,FYN binding protein(Fyb)
Pdlim4,30794,Mus musculus,PDZ and LIM domain 4(Pdlim4)
Cdkn1a,12575,Mus musculus,cyclin-dependent kinase inhibitor 1A (P21)(Cdkn1a)
Rfx2,19725,Mus musculus,"regulatory factor X, 2 (influences HLA class II expression)(Rfx2)"
Scn11a,24046,Mus musculus,"sodium channel, voltage-gated, type XI, alpha(Scn11a)"
Ccnb2,12442,Mus musculus,cyclin B2(Ccnb2)
Thbs3,21827,Mus musculus,thrombospondin 3(Thbs3)
Thbs2,21826,Mus musculus,thrombospondin 2(Thbs2)
Slc47a1,67473,Mus musculus,"solute carrier family 47, member 1(Slc47a1)"
Lin7b,22342,Mus musculus,lin-7 homolog B (C. elegans)(Lin7b)
Tspan4,64540,Mus musculus,tetraspanin 4(Tspan4)
Chodl,246048,Mus musculus,chondrolectin(Chodl)
Pros1,19128,Mus musculus,protein S (alpha)(Pros1)
Vasn,246154,Mus musculus,vasorin(Vasn)
C3,12266,Mus musculus,complement component 3(C3)
Itgax,16411,Mus musculus,integrin alpha X(Itgax)
Mylk,107589,Mus musculus,"myosin, light polypeptide kinase(Mylk)"
C1ra,50909,Mus musculus,"complement component 1, r subcomponent A(C1ra)"
Sh3bp2,24055,Mus musculus,SH3-domain binding protein 2(Sh3bp2)
Hcar2,80885,Mus musculus,hydroxycarboxylic acid receptor 2(Hcar2)
Ccl12,20293,Mus musculus,chemokine (C-C motif) ligand 12(Ccl12)
Ccl11,20292,Mus musculus,chemokine (C-C motif) ligand 11(Ccl11)
Axl,26362,Mus musculus,AXL receptor tyrosine kinase(Axl)
Kcne1l,66240,Mus musculus,"potassium voltage-gated channel, Isk-related family, member 1-like, pseudogene(Kcne1l)"
Mki67,17345,Mus musculus,antigen identified by monoclonal antibody Ki 67(Mki67)
C1qc,12262,Mus musculus,"complement component 1, q subcomponent, C chain(C1qc)"
Itih3,16426,Mus musculus,"inter-alpha trypsin inhibitor, heavy chain 3(Itih3)"
Apoc1,11812,Mus musculus,apolipoprotein C-I(Apoc1)
Laptm5,16792,Mus musculus,lysosomal-associated protein transmembrane 5(Laptm5)
Mmp2,17390,Mus musculus,matrix metallopeptidase 2(Mmp2)
Ecm1,13601,Mus musculus,extracellular matrix protein 1(Ecm1)
Igf1,16000,Mus musculus,insulin-like growth factor 1(Igf1)
Slc43a3,58207,Mus musculus,"solute carrier family 43, member 3(Slc43a3)"
Rhoj,80837,Mus musculus,ras homolog family member J(Rhoj)
Ch25h,12642,Mus musculus,cholesterol 25-hydroxylase(Ch25h)
Pbxip1,229534,Mus musculus,pre B cell leukemia transcription factor interacting protein 1(Pbxip1)
Anxa3,11745,Mus musculus,annexin A3(Anxa3)
C1qa,12259,Mus musculus,"complement component 1, q subcomponent, alpha polypeptide(C1qa)"
C1qb,12260,Mus musculus,"complement component 1, q subcomponent, beta polypeptide(C1qb)"
Naa11,97243,Mus musculus,"N(alpha)-acetyltransferase 11, NatA catalytic subunit(Naa11)"
Ifi30,65972,Mus musculus,interferon gamma inducible protein 30(Ifi30)
Fxyd1,56188,Mus musculus,FXYD domain-containing ion transport regulator 1(Fxyd1)
Naglu,27419,Mus musculus,alpha-N-acetylglucosaminidase (Sanfilippo disease IIIB)(Naglu)
Sgk1,20393,Mus musculus,serum/glucocorticoid regulated kinase 1(Sgk1)
Hoxb13,15408,Mus musculus,homeobox B13(Hoxb13)
Ifi204,15951,Mus musculus,interferon activated gene 204(Ifi204)
Cyp4f14,64385,Mus musculus,"cytochrome P450, family 4, subfamily f, polypeptide 14(Cyp4f14)"
Itgb2,16414,Mus musculus,integrin beta 2(Itgb2)
Fcgr1,14129,Mus musculus,"Fc receptor, IgG, high affinity I(Fcgr1)"
Emp3,13732,Mus musculus,epithelial membrane protein 3(Emp3)
Cxcr4,12767,Mus musculus,chemokine (C-X-C motif) receptor 4(Cxcr4)
Fcgr3,14131,Mus musculus,"Fc receptor, IgG, low affinity III(Fcgr3)"
Emp1,13730,Mus musculus,epithelial membrane protein 1(Emp1)
Hk2,15277,Mus musculus,hexokinase 2(Hk2)
Casp12,12364,Mus musculus,caspase 12(Casp12)
Nek6,59126,Mus musculus,NIMA (never in mitosis gene a)-related expressed kinase 6(Nek6)
Tnni1,21952,Mus musculus,"troponin I, skeletal, slow 1(Tnni1)"
Hoxd13,15433,Mus musculus,homeobox D13(Hoxd13)
Xdh,22436,Mus musculus,xanthine dehydrogenase(Xdh)
Lgals3bp,19039,Mus musculus,"lectin, galactoside-binding, soluble, 3 binding protein(Lgals3bp)"
Btbd17,72014,Mus musculus,BTB (POZ) domain containing 17(Btbd17)
Pon3,269823,Mus musculus,paraoxonase 3(Pon3)
Eif4ebp1,13685,Mus musculus,eukaryotic translation initiation factor 4E binding protein 1(Eif4ebp1)
Ckap2,80986,Mus musculus,cytoskeleton associated protein 2(Ckap2)
Fermt3,108101,Mus musculus,fermitin family member 3(Fermt3)
